Date,Average,Normal year
2018-01-02,"5,850","6,532"
2018-01-03,"5,830","5,526"
2018-01-04,"5,850","6,444"
2018-01-05,"5,850","6,539"
2018-01-08,"6,000","5,035"
2018-01-09,"6,000","5,050"
2018-01-10,"6,000","5,063"
2018-01-11,"6,000","5,100"
2018-01-12,"5,960","5,167"
2018-01-15,"5,800","5,290"
2018-01-16,"6,000","5,293"
2018-01-17,"5,400","5,267"
2018-01-18,"5,260","5,293"
2018-01-19,"5,300","5,387"
2018-01-22,"5,360","5,720"
2018-01-23,"5,500","5,788"
2018-01-24,"5,460","5,848"
2018-01-25,"5,400","5,973"
2018-01-26,"5,400","6,040"
2018-01-29,"5,900","6,117"
2018-01-30,"6,800","6,100"
2018-01-31,"7,100","6,083"
2018-02-01,"7,160","6,032"
2018-02-02,"7,900","5,972"
2018-02-05,"8,800","5,883"
2018-02-06,"9,400","5,878"
2018-02-07,"9,700","5,852"
2018-02-08,"9,400","5,850"
2018-02-09,"9,100","5,850"
2018-02-12,"8,200","5,917"
2018-02-13,"8,000","5,913"
2018-02-14,"7,700","5,880"
2018-02-19,"7,100","6,335"
2018-02-20,"7,300","6,397"
2018-02-21,"7,300","6,437"
2018-02-22,"7,100","6,557"
2018-02-23,"7,100","6,553"
2018-02-26,"7,400","6,673"
2018-02-27,"7,500","6,690"
2018-02-28,"7,500","6,653"
2018-03-02,"7,500","6,800"
2018-03-05,"7,500","7,037"
2018-03-06,"7,700","7,043"
2018-03-07,"7,700","7,040"
2018-03-08,"7,600","7,080"
2018-03-09,"7,600","7,100"
2018-03-12,"8,100","7,070"
2018-03-13,"7,500","7,067"
2018-03-14,"7,800","7,073"
2018-03-15,"7,700","7,067"
2018-03-16,"7,200","7,100"
2018-03-19,"7,200","7,247"
2018-03-20,"7,100","7,247"
2018-03-21,"7,300","7,193"
2018-03-22,"7,900","7,153"
2018-03-23,"8,100","7,167"
2018-03-26,"8,100","7,247"
2018-03-27,"8,000","7,227"
2018-03-28,"7,800","7,213"
2018-03-29,"7,500","7,213"
2018-03-30,"7,400","7,170"
2018-04-02,"7,400","7,240"
2018-04-03,"7,400","7,227"
2018-04-04,"7,100","7,227"
2018-04-05,"7,200","7,160"
2018-04-06,"6,800","7,073"
2018-04-09,"6,900","6,927"
2018-04-10,"7,200","6,853"
2018-04-11,"7,200","6,713"
2018-04-12,"7,300","6,600"
2018-04-13,"7,100","6,527"
2018-04-16,"7,200","6,360"
2018-04-17,"7,300","6,320"
2018-04-18,"7,000","6,308"
2018-04-19,"6,900","6,322"
2018-04-20,"6,900","6,333"
2018-04-23,"7,100","8,446"
2018-04-24,"7,100","8,470"
2018-04-25,"7,100","8,423"
2018-04-26,"6,800","8,397"
2018-04-27,"6,700","8,376"
2018-04-30,"6,900","6,984"
2018-05-02,"6,900","6,897"
2018-05-03,"6,700","6,698"
2018-05-04,"6,800","6,569"
2018-05-08,"5,950","5,528"
2018-05-09,"5,800","5,539"
2018-05-10,"5,800","5,480"
2018-05-11,"5,550","5,440"
2018-05-14,"5,480","5,719"
2018-05-15,"5,630","5,958"
2018-05-16,"5,630","6,049"
2018-05-17,"5,630","6,043"
2018-05-18,"5,600","6,200"
2018-05-21,"4,800","6,073"
2018-05-23,"4,400","5,926"
2018-05-24,"4,300","5,866"
2018-05-25,"4,300","5,813"
2018-05-28,"4,200","3,693"
2018-05-29,"4,200","5,075"
2018-05-30,"4,200","4,963"
2018-05-31,"4,100","4,793"
2018-06-01,"4,100","4,617"
2018-06-04,"3,900","4,412"
2018-06-05,"3,900","4,423"
2018-06-07,"3,900","4,460"
2018-06-08,"3,900","4,442"
2018-06-11,"4,000","4,323"
2018-06-12,"3,900","4,322"
2018-06-14,"4,500","4,133"
2018-06-15,"4,600","4,138"
2018-06-18,"5,000","4,300"
2018-06-19,"5,000","4,325"
2018-06-20,"4,900","4,417"
2018-06-21,"4,800","4,550"
2018-06-22,"4,900","4,602"
2018-06-25,"5,400","4,589"
2018-06-26,"5,500","4,558"
2018-06-27,"5,900","4,547"
2018-06-28,"6,066","4,507"
2018-06-29,"5,666","4,488"
2018-07-02,"5,866","4,579"
2018-07-03,"5,932","4,652"
2018-07-04,"5,800","4,712"
2018-07-05,"5,700","4,812"
2018-07-06,"5,600","4,894"
2018-07-09,"6,200","4,967"
2018-07-10,"6,300","5,063"
2018-07-11,"7,200","5,209"
2018-07-12,"7,400","5,371"
2018-07-13,"7,700","5,492"
2018-07-16,"8,333","5,532"
2018-07-17,"7,633","5,565"
2018-07-18,"8,000","5,653"
2018-07-19,"8,400","5,723"
2018-07-20,"8,466","5,715"
2018-07-23,"10,000","6,438"
2018-07-24,"10,800","6,507"
2018-07-25,"11,000","6,600"
2018-07-26,"12,400","6,871"
2018-07-27,"14,000","7,028"
2018-07-30,"13,600","7,297"
2018-07-31,"14,600","7,297"
2018-08-01,"13,400","7,482"
2018-08-02,"13,200","7,605"
2018-08-03,"12,600","8,087"
2018-08-06,"13,000","8,526"
2018-08-07,"13,320","7,040"
2018-08-08,"13,200","7,100"
2018-08-09,"12,600","7,186"
2018-08-10,"12,800","7,303"
2018-08-13,"12,600","9,858"
2018-08-14,"12,800","10,000"
2018-08-16,"14,400","10,260"
2018-08-17,"15,600","10,503"
2018-08-20,"17,000","11,230"
2018-08-21,"17,600","11,453"
2018-08-22,"18,200","11,640"
2018-08-23,"20,000","11,867"
2018-08-24,"22,400","12,018"
2018-08-27,"21,000","12,110"
2018-08-28,"22,000","12,107"
2018-08-29,"20,400","11,931"
2018-08-30,"19,200","11,852"
2018-08-31,"17,600","11,915"
2018-09-03,"16,800","12,201"
2018-09-04,"14,400","12,148"
2018-09-05,"14,000","12,257"
2018-09-06,"13,800","12,217"
2018-09-07,"13,000","11,990"
2018-09-10,"13,000","11,760"
2018-09-11,"13,600","11,677"
2018-09-12,"13,800","11,447"
2018-09-13,"13,400","11,263"
2018-09-14,"13,000","11,217"
2018-09-17,"12,800","10,787"
2018-09-18,"12,400","10,642"
2018-09-19,"12,400","10,545"
2018-09-20,"11,800","10,522"
2018-09-21,"12,000","10,442"
2018-09-27,"10,600","8,717"
2018-09-28,"9,400","8,360"
2018-10-01,"8,600","7,573"
2018-10-02,"7,800","7,333"
2018-10-04,"6,300","7,147"
2018-10-05,"6,700","7,077"
2018-10-08,"8,000","6,560"
2018-10-10,"7,000","6,220"
2018-10-11,"6,400","5,845"
2018-10-12,"6,100","5,505"
2018-10-15,"6,066","4,815"
2018-10-16,"6,266","4,665"
2018-10-17,"6,100","4,445"
2018-10-18,"5,900","4,263"
2018-10-19,"6,100","4,163"
2018-10-22,"6,200","4,117"
2018-10-23,"5,800","4,107"
2018-10-24,"5,800","4,040"
2018-10-25,"5,800","4,398"
2018-10-26,"5,800","4,419"
2018-10-29,"5,900","4,298"
2018-10-30,"5,800","4,225"
2018-10-31,"5,800","3,689"
2018-11-01,"5,800","3,664"
2018-11-02,"5,900","3,643"
2018-11-05,"6,100","3,382"
2018-11-06,"6,100","3,438"
2018-11-07,"5,900","3,357"
2018-11-08,"6,132","3,413"
2018-11-09,"6,132","4,013"
2018-11-12,"5,532","4,208"
2018-11-13,"5,532","4,269"
2018-11-14,"5,732","4,319"
2018-11-15,"5,732","4,375"
2018-11-16,"5,200","4,404"
2018-11-19,"5,400","4,638"
2018-11-20,"5,200","4,753"
2018-11-21,"5,200","4,886"
2018-11-22,"5,000","4,973"
2018-11-23,"5,500","4,999"
2018-11-26,"5,000","5,097"
2018-11-27,"4,400","5,095"
2018-11-28,"4,600","5,057"
2018-11-29,"4,600","4,966"
2018-11-30,"4,800","4,915"
2018-12-03,"4,632","4,652"
2018-12-04,"4,566","4,531"
2018-12-05,"4,632","4,414"
2018-12-06,"4,766","4,338"
2018-12-10,"4,966","4,193"
2018-12-11,"4,966","4,105"
2018-12-12,"4,966","4,094"
2018-12-13,"4,966","4,076"
2018-12-14,"4,466","4,086"
2018-12-17,"4,100","4,105"
2018-12-18,"3,800","4,108"
2018-12-19,"3,700","4,122"
2018-12-20,"3,700","4,148"
2018-12-21,"3,700","4,145"
2018-12-24,"3,700","5,956"
2018-12-26,"3,900","5,958"
2018-12-27,"3,800","5,957"
2018-12-28,"3,800","5,950"
2018-12-31,"3,800","5,781"
