Location,Date,Average temperature,Lowest temperature,Highest temperature,Precipitation,Wind speed,Dew point,Relative humidity,Vapor pressure,Spot atmospheric pressure,Sea-level pressure,Duration of bright sunshine,Solar radiation quantity,Maximum depth of snow cover,Maximum depth of new snowfall,Amount of cumulus,Amount of middle and lower cloud,Average temperature of ground,Total large evaporation,Toal low evaporation
108,2016-01-01,1.2,-3.3,4,,1.6,-3.3,73,4.8,1019.9,1030.9,2.1,4.61,,,7,7,0.2,,0.6
108,2016-01-02,5.7,1,9.5,,2,1.9,76.9,7.1,1012,1022.6,3.6,4.5,,,7.8,7.1,2.8,,0.3
108,2016-01-03,6.5,5.1,9.4,,1.8,3.2,80.6,7.7,1008.9,1019.4,2.2,4.85,,,7.5,7.5,4.8,,0.3
108,2016-01-04,2,-2.5,5.3,,3.1,-6.9,54.4,3.9,1013.1,1023.9,8.6,9.03,,,4.4,2.5,3,,1.7
108,2016-01-05,-2.7,-4.8,1.5,,2.3,-15.2,39.4,1.9,1016.9,1027.9,7.9,8.22,,,3.4,0.1,0.1,,1.8
108,2016-01-06,-1.7,-4.9,1.7,,1.8,-9.7,54.3,3,1014.7,1025.7,2.2,4.69,,,6,5.3,-0.5,,1.5
108,2016-01-07,-3.4,-5.9,1.4,,2.5,-12.4,51.8,2.4,1013.9,1024.9,9.1,9.76,,,0.3,0,-1,,1.5
108,2016-01-08,-3.3,-6.9,1,,2,-13,49.8,2.3,1012.6,1023.6,9.2,9.83,,,0.5,0.4,-1.5,,0.8
108,2016-01-09,-2.1,-6.2,2.4,,2.1,-9.6,57.1,3,1014.3,1025.2,8,9.28,,,4.1,4.1,-1,,1.6
108,2016-01-10,0.3,-2.7,3.8,,2.6,-12.3,42.3,2.6,1015.5,1026.4,7.9,9.35,,,2.6,2.6,0.2,,1.9
108,2016-01-11,-3.8,-6.5,0.9,,2.8,-16.3,38.3,1.7,1016.1,1027.1,9.1,9.89,,,1.1,0,-1.6,,1.2
108,2016-01-12,-5.2,-9.1,0.7,,2.5,-15.5,46,1.9,1013.3,1024.4,9.1,10.02,,,0.5,0.4,-2.5,,1.2
108,2016-01-13,-4.5,-8.2,0.1,0.4,2,-10.8,63,2.8,1009.5,1020.5,5.8,6.69,0.5,0.5,5.5,5.5,-1.8,,
108,2016-01-14,-3.4,-8.4,1.3,0,1.7,-12.4,52.1,2.5,1011,1022,7.7,8.8,0,0.4,4,4,-1.1,,1.5
108,2016-01-15,-0.4,-4.3,5.3,,1.8,-9.5,52.3,3,1010.9,1021.7,6.1,7.85,,0,3.1,2.8,-0.2,,1.4
108,2016-01-16,-0.2,-2.1,2.8,0.1,2.9,-5.5,68,4.2,1012.1,1023,1,4.86,,,7.1,6.4,0.1,,0.8
108,2016-01-17,1.7,-0.7,5.4,,2.4,-4.6,64,4.3,1006.4,1017.2,0,4.23,,,6.6,1.8,0.4,,0.6
108,2016-01-18,-6.3,-12.3,0.4,0.2,4.8,-13.2,59.8,2.5,1003.9,1014.9,7.8,8.31,0.4,0.4,6,5.3,-1.3,,1.5
108,2016-01-19,-12.8,-15.1,-8.9,,5.4,-22.2,45.9,1,1011.7,1023.1,9.3,10.82,,,0.5,0.5,-5.8,,1.5
108,2016-01-20,-10.5,-14.5,-5.2,,1.8,-20.6,43.6,1.2,1019.7,1031.2,9,9.08,,,1.9,0,-5.1,,0.9
108,2016-01-21,-7.1,-10.2,-2.3,,1.8,-17.6,44.3,1.6,1017.9,1029.1,6.5,8.41,,,3.9,0,-3.4,,1.6
108,2016-01-22,-7.6,-11.1,-3.8,,2.6,-19.2,40.5,1.4,1021.1,1032.4,6.2,7.62,,,5.4,0,-4.1,,1.7
108,2016-01-23,-11.5,-16,-8.3,0,4,-21.9,42,1.1,1019.1,1030.6,8.3,9.18,,,3.5,1.6,-5.3,,1.5
108,2016-01-24,-14.4,-18,-10.5,,3.2,-23.1,48.5,1,1014.9,1026.4,9.3,10.54,,,0,0,-7.9,,1.3
108,2016-01-25,-9.4,-14.3,-3.4,,1.9,-19,47.1,1.4,1018,1029.3,9.5,11.22,,,0.9,0.9,-5.9,,1.4
108,2016-01-26,-3.3,-8.5,1.7,0.3,2.3,-9.1,64.5,3.1,1016.3,1027.3,4.5,6.5,0.5,0.5,6.1,6.1,-2.2,,1.1
108,2016-01-27,-1.1,-4.7,4.3,,2,-9,56.3,3.1,1019,1030,9.4,9.55,,,2.4,0.6,-1.5,,1
108,2016-01-28,-0.5,-5.6,3.5,,1.6,-9.9,51.5,2.9,1018.2,1029.1,2.4,5.88,,,6.5,3.9,-1.1,,1.2
108,2016-01-29,1.9,-1.4,5.4,,2.3,-9.6,43.6,3,1014.6,1025.5,0.1,4.19,,,7.5,3.8,0.3,,1.2
108,2016-01-30,0.6,-2.5,5.2,,2,-6.5,59.5,3.8,1015.4,1026.3,6.3,8.01,,,4.5,0.9,-0.3,,1.6
108,2016-01-31,-3.9,-6.5,0.3,,3.2,-18.1,34,1.5,1018.4,1029.5,7.9,10.75,,,3.1,0,-1.1,,2
108,2016-02-01,-6,-9.1,-1,,3,-19.1,36,1.4,1018.5,1029.7,9.6,12.01,,,0.4,0.1,-2.7,,1.8
108,2016-02-02,-5.3,-10,0.9,,2.2,-16.6,41.8,1.7,1017.6,1028.7,9.8,12.05,,,0,0,-3,,1.6
108,2016-02-03,-2.4,-8.3,4,,1.9,-11.9,49.6,2.5,1016.9,1027.9,7.5,10.46,,,1.8,1.8,-1.8,,1.5
108,2016-02-04,-0.7,-4,3.9,,2.4,-10.9,50.1,2.8,1014.9,1025.9,7.9,9.82,,,2.9,1.4,-0.5,,1.7
108,2016-02-05,-2.2,-6.8,3.4,,2.5,-14.8,39.4,2,1013.1,1024.1,8.9,10.71,,,1.6,0.3,-0.9,,1.6
108,2016-02-06,-3.1,-6.2,2,,2.9,-15.5,38.6,1.9,1012.6,1023.6,9.8,12.22,,,0,0,-1.3,,2.2
108,2016-02-07,-2.9,-8.3,3.5,,2,-13.4,46.5,2.3,1012,1023.1,9.8,12.44,,,1,1,-1.6,,1.9
108,2016-02-08,1.3,-4.3,5.5,,3.1,-5.2,62.1,4.2,1004.8,1015.6,2.8,5.55,,,6.9,3.9,0.7,,1.7
108,2016-02-09,0.3,-3.9,5.5,,3,-8.8,52.5,3.2,1011.3,1022.1,9.5,11.45,,,0.5,0.5,0.6,,1.9
108,2016-02-10,2.7,-4.3,10.7,,1.6,-11.4,38.5,2.6,1015.2,1026,9.8,12.74,,,0,0,0.8,,1.9
108,2016-02-11,8.1,1.6,13.5,0.1,3.5,-9.4,29.3,3.2,1013.7,1024.3,4.6,7.87,,,6,2.6,2.7,,0.7
108,2016-02-12,8.4,6.8,10,18,3.2,7.5,95.3,10.5,1006.9,1017.4,0,1.1,,,10,7.1,4.5,,0.2
108,2016-02-13,11,5.8,14.4,21,3.3,10.1,95,12.5,996.3,1006.6,0,3.78,,,9.9,6.8,8.7,,0.3
108,2016-02-14,-2.6,-6.8,5.8,2.5,4.6,-6.9,73.1,3.9,1003.1,1013.9,0.1,2.98,,,7.8,5.4,1.9,,1.5
108,2016-02-15,-5.8,-10,-2.3,0,4,-15.5,48.4,2,1010.4,1021.5,9.8,14.52,,,1.5,1.5,-0.6,,2
108,2016-02-16,-2.7,-6.7,1.1,0.8,2.7,-8.3,65.6,3.3,1007.7,1018.7,3.2,5.58,1.2,1.2,3.8,3.3,-0.3,,0.8
108,2016-02-17,0,-5.2,5.4,,2.3,-8.8,53.9,3.2,1013.5,1024.4,10,14.42,,,0.3,0.3,0.3,,2
108,2016-02-18,3.5,-1.4,7.8,,3.2,-2.2,66.4,5.3,1010.8,1021.5,5.9,8.26,,,5.4,3,1.9,,1.3
108,2016-02-19,2.3,0.1,4.4,,1.7,-6.3,56.4,4,1016.2,1027,0.5,5.1,,,6.8,4.1,1.1,,1
108,2016-02-20,1.3,-2.5,6.3,,2.9,-12.1,37.1,2.5,1013.2,1024.1,9.4,13.13,,,1.9,0.1,2.6,,1.4
108,2016-02-21,-0.6,-4.2,4.4,,2.9,-14,36.4,2.1,1019.2,1030.2,10,13.63,,,3,0.9,1.6,,2.7
108,2016-02-22,1.1,-2.2,4.2,0,1.9,-12.7,36.6,2.5,1019.4,1030.3,0,5.76,,,9.5,5.4,1.5,,1.2
108,2016-02-23,0.7,-4.5,4.5,0.9,3.2,-8.1,56,3.6,1019,1029.9,9.1,14.55,0.3,0.3,4.3,2.5,3.5,,2.5
108,2016-02-24,-3,-6.8,2.2,,2.9,-14.3,42,2,1022.4,1033.5,10.3,15.48,,,0.3,0.3,1.6,,2.2
108,2016-02-25,-0.2,-5.8,5.7,,2.7,-9.7,49.9,3.1,1021.7,1032.7,10.1,11.24,,,2.4,2.4,1.2,,2
108,2016-02-26,2.2,-3.2,7.5,0,2.2,-10.8,41.3,2.8,1017.3,1028.2,10.4,15.23,,,3,2.5,3.4,,2.1
108,2016-02-27,3.3,0.5,8.1,0.2,2,-4.7,57.6,4.4,1013.7,1024.5,6.3,11.21,,,6.6,3,4.5,,1.9
108,2016-02-28,0.7,-2.6,6.9,4.1,2.1,-5.7,65.5,4.1,1011.3,1022.2,1.5,4.76,5,5,6.1,2.8,1.4,,0.2
108,2016-02-29,-3.8,-5.9,-1.1,0,4,-13.1,48.6,2.3,1014.4,1025.5,8.6,10.38,,4.3,2.5,2.5,0.4,,1.6
108,2016-03-01,-2.7,-7.5,2.1,,2.5,-12.8,47.3,2.5,1017.2,1028.3,9.3,14.8,,,1.5,1.5,0.8,,2.1
108,2016-03-02,3.1,-2.2,8.1,,2.9,-2.4,67.9,5.2,1014.1,1024.9,5.4,8.08,,,6.4,6.4,3.4,,1.6
108,2016-03-03,8.1,4.4,13.9,,1.9,1.6,65.1,6.9,1013.2,1023.7,5.4,10.26,,,5.6,5.6,7.2,,1.8
108,2016-03-04,13.2,6.4,20.3,0.1,2.7,4.1,55.3,8.4,1013.4,1023.7,9.8,14.61,,,5.3,4.6,11.1,,1.8
108,2016-03-05,11.3,9.1,13.5,40,2.6,9.8,91.3,12.1,1007.9,1018.2,0,1.16,,,9.8,7.3,10.5,,4.5
108,2016-03-06,7.9,4.3,12.9,0.2,2.8,-3.9,51,5,1009,1019.5,8.8,15.21,,,2.4,2.1,10.1,,2.9
108,2016-03-07,8.1,4.8,12.2,0,2,-5.8,36.9,4,1007.6,1018,0.8,4.36,,,8,3.8,6.8,,1.3
108,2016-03-08,2.7,-1.4,7,,3.1,-10,40.4,3,1012.3,1023.1,2,8.54,,,8.5,1.8,5.1,,2.2
108,2016-03-09,0.3,-2.7,5.3,,3.5,-13,37.5,2.3,1013.2,1024.1,9.9,17.09,,,4.4,0,4.2,,3.3
108,2016-03-10,-1.1,-4.3,3.1,,3.2,-14.4,37.8,2,1015.6,1026.6,10.9,18.12,,,1.3,0.3,3.6,,2.9
108,2016-03-11,-0.5,-5.5,4.6,,2.6,-11.9,43.8,2.5,1014.7,1025.6,11.2,18.25,,,0,0,3.5,,2.3
108,2016-03-12,2,-3.3,6.4,,2.5,-6,55.6,4,1014.1,1024.9,5.8,9.56,,,5.4,4.9,3.2,,1.6
108,2016-03-13,3.7,1.9,6.5,0.1,1.6,-1.7,68.1,5.4,1013.6,1024.3,0.6,6.18,,,7.8,5.8,4.4,,0.8
108,2016-03-14,4.7,1.3,9.6,,2.6,-4.1,57,4.6,1012,1022.7,9.2,14.56,,,3.5,3.5,6.4,,2.5
108,2016-03-15,5.2,-1,12.4,,2.2,-7.4,43.4,3.7,1012.8,1023.5,8.9,16.25,,,3.8,0,6.6,,2.4
108,2016-03-16,7.5,2.7,13.8,,2,-5,45.1,4.4,1011.5,1022.1,10.1,16.66,,,2.4,0,9.7,,3
108,2016-03-17,9.3,2,14.7,,1.4,-3.8,40.9,4.8,1009.7,1020.1,6.4,11.77,,,6.1,1.8,7.3,,2.2
108,2016-03-18,13.4,8.8,20.1,,2.4,2.8,50,7.5,1002,1012.3,6.7,13.54,,,4.4,1.6,13.7,,2.4
108,2016-03-19,11.4,6.6,18.1,,2.5,2.9,58.3,7.6,1004.2,1014.5,10.6,16.37,,,0,0,13.2,,3
108,2016-03-20,10.6,4.9,17.5,,2.2,0.9,54,6.5,1009.9,1020.3,10.4,17.03,,,0.5,0.5,13.5,,3.2
